Channel,Compound,Date,Negative,Neutral,Positive,Tweet,Tweet_Number
@BBC,0.0,Sun Dec 10 20:24:26 +0000 2017,0.0,1.0,0.0,RT @BBCOne: These are *all* items regurgitated by birds. 😥 #BluePlanet2 https://t.co/WyFtZHjKjx,110
@BBC,0.4019,Sun Dec 10 20:24:19 +0000 2017,0.0,0.87,0.13,"RT @BBCOne: Our rubbish, our responsibility. ✊ #BluePlanet2 

Find out more about what you can do to help: https://t.co/LiA3x5I2gk. https:/…",111
@BBC,0.9169,Sun Dec 10 20:20:04 +0000 2017,0.0,0.482,0.518,Eight delightful dolphin photos that'll inspire you to help clean up our oceans. #BluePlanet2 🐬❤️️… https://t.co/PP5l7QrqFP,112
@BBC,0.0,Sun Dec 10 20:14:12 +0000 2017,0.0,1.0,0.0,"RT @BBCEarth: ‘We’re only now beginning to realise what an impact noise is having on the inhabitants of the ocean’ – David Attenborough
#Bl…",113
@BBC,-0.5267,Sun Dec 10 20:04:45 +0000 2017,0.152,0.848,0.0,"RT @BBCOne: ""The oceans are under threat now as never ever before in human history."" - Sir David Attenborough. #BluePlanet2 https://t.co/yn…",114
@BBC,0.0,Sun Dec 10 19:58:55 +0000 2017,0.0,1.0,0.0,"RT @BBCEarth: The countdown is on! The final episode of #BluePlanet2: Our Blue Planet starts 8pm GMT on @BBCOne, BBC Earth Nordics &amp; @BBCEa…",115
@BBC,0.5106,Sun Dec 10 19:58:19 +0000 2017,0.0,0.837,0.163,"RT @BBCSpringwatch: Seven British conservation heroes you should know about - this lot deserve endless 👏🏽👏🏽
#BluePlanet2 #OurBluePlanet 
ht…",116
@BBC,0.7096,Sun Dec 10 19:50:01 +0000 2017,0.0,0.604,0.396,"'Good luck, little leatherback' - Sir David Attenborough 🐢

#BluePlanet2 | 8PM | @BBCOne https://t.co/vMliWBZFBE",117
@BBC,-0.1803,Sun Dec 10 19:30:02 +0000 2017,0.213,0.602,0.185,"'There's a huge bomb up there. I'm 76% sure. It's not like the penguin hostage situation.' 🐧😂
#ScotSquad via… https://t.co/x8I92iMImk",118
@BBC,0.6249,Sun Dec 10 19:00:02 +0000 2017,0.0,0.797,0.203,Miles of cable and thousands of twinkling bulbs have been used to create the longest festive tunnel of light in Eur… https://t.co/C22wpljo2u,119
@BBC,0.5574,Sun Dec 10 18:33:05 +0000 2017,0.0,0.816,0.184,"Tonight, David Attenborough investigates the remarkable story of Jumbo the elephant. Attenborough and the Giant Ele… https://t.co/4NK1B5ZNwr",120
@CBSNews,0.5267,Mon Dec 11 06:33:05 +0000 2017,0.0,0.726,0.274,"The triumphant reign of Broadway's ""The Lion King"" https://t.co/qLV410MiVG https://t.co/8DJqmJqALP",1
@CBSNews,0.0,Mon Dec 11 06:18:07 +0000 2017,0.164,0.672,0.164,Missing child alert issued for four brothers in Alabama https://t.co/bsBtX6qSe4 https://t.co/LTlQnBRHt9,2
@CBSNews,0.7351,Mon Dec 11 06:03:05 +0000 2017,0.0,0.446,0.554,The divine creations of Michelangelo https://t.co/6QZx6JZO8h https://t.co/aijGVoka7i,3
@CBSNews,0.1779,Mon Dec 11 05:48:05 +0000 2017,0.0,0.841,0.159,Mother and 2-year-old kicked off Spirit Airlines flight https://t.co/tXz7jCnYI2 https://t.co/k7QFTFRJ2W,4
@CBSNews,0.0,Mon Dec 11 05:33:06 +0000 2017,0.0,1.0,0.0,"Transcript: Nikki Haley on ""Face the Nation,"" Dec. 10, 2017 https://t.co/wesTVAjEJi https://t.co/tKW7ttx2vE",5
@CBSNews,-0.8126,Mon Dec 11 05:24:08 +0000 2017,0.355,0.57,0.075,Ollie the pit bull: Dog's torture sparks push for tougher laws against animal abuse https://t.co/y9VSbQofgG https://t.co/qf9Mu5ZDoe,6
@CBSNews,0.5719,Mon Dec 11 05:18:09 +0000 2017,0.0,0.709,0.291,Missouri woman wins lottery twice in one day https://t.co/R02f8xSleV https://t.co/JTebVBfius,7
